val/loss,val/acc,val/prec,val/rec,val/preds_sum,val/targets_sum,val/acc_best,val/loss_best,epoch,step,train/loss,train/acc,train/prec,train/rec,train/preds_sum,train/targets_sum,train/acc_best,train/loss_best,test/loss,test/acc,test/prec,test/rec,test/preds_sum,test/targets_sum,test/TP_epoch,test/FP_epoch,test/TN_epoch,test/FN_epoch,test/acc_epoch,test/prec_epoch,test/rec_epoch,test/preds_sum_epoch,test/targets_sum_epoch
,,,,,,,,7,295,0.12146729230880737,0.6356926560401917,0.6002823710441589,0.9786470532417297,4478.162109375,7570.5673828125,0.6356926560401917,0.12146729230880737,,,,,,,,,,,,,,,
0.057494133710861206,0.9006189107894897,0.9040043950080872,0.9888575673103333,9594.2998046875,9684.2998046875,0.9006189107894897,0.057494133710861206,8,332,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,332,0.03187507763504982,0.9455687999725342,0.9450690746307373,0.993901252746582,7244.13525390625,7570.5673828125,0.9455687999725342,0.03187507763504982,,,,,,,,,,,,,,,
0.062395088374614716,0.9187899827957153,0.9240875244140625,0.9881726503372192,9664.2001953125,9684.2998046875,0.9187899827957153,0.057494133710861206,9,369,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,369,0.01692795194685459,0.9829643964767456,0.9841389060020447,0.9967077970504761,7481.13525390625,7570.5673828125,0.9829643964767456,0.01692795194685459,,,,,,,,,,,,,,,
0.07030542939901352,0.8964194059371948,0.8973544239997864,0.988789439201355,9375.2998046875,9684.2998046875,0.9187899827957153,0.057494133710861206,10,406,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,406,0.01627238467335701,0.9838351607322693,0.985098123550415,0.9967734813690186,7491.2705078125,7570.5673828125,0.9838351607322693,0.01627238467335701,,,,,,,,,,,,,,,
0.0671711191534996,0.898585319519043,0.8998570442199707,0.9887927174568176,9392.2998046875,9684.2998046875,0.9187899827957153,0.057494133710861206,11,443,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,443,0.015649618580937386,0.9836300015449524,0.984667181968689,0.9969373345375061,7481.162109375,7570.5673828125,0.9838351607322693,0.015649618580937386,,,,,,,,,,,,,,,
0.06857962906360626,0.8986509442329407,0.9012058973312378,0.9884211421012878,9489.900390625,9684.2998046875,0.9187899827957153,0.057494133710861206,12,480,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,480,0.014332088641822338,0.9849288463592529,0.9858635663986206,0.9971502423286438,7488.81103515625,7570.5673828125,0.9849288463592529,0.014332088641822338,,,,,,,,,,,,,,,
0.06540489941835403,0.912368893623352,0.915988564491272,0.9886752963066101,9555.5,9684.2998046875,0.9187899827957153,0.057494133710861206,13,517,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,517,0.014526799321174622,0.9840533137321472,0.9848227500915527,0.997166097164154,7480.486328125,7570.5673828125,0.9849288463592529,0.014332088641822338,,,,,,,,,,,,,,,
0.06328494101762772,0.9105350375175476,0.912396252155304,0.9889823198318481,9422.5,9684.2998046875,0.9187899827957153,0.057494133710861206,14,554,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,554,0.01354612410068512,0.983954131603241,0.9845281839370728,0.9973574280738831,7477.86474609375,7570.5673828125,0.9849288463592529,0.01354612410068512,,,,,,,,,,,,,,,
0.06823514401912689,0.9146106839179993,0.9178236126899719,0.9886854887008667,9510.7998046875,9684.2998046875,0.9187899827957153,0.057494133710861206,15,591,,,,,,,,,,,,,,,,,,,,,,,
