~iteration~,alpha,beta,base
21905,2,50,0.5
21955,2,50,0.5
21996,2,50,0.5
22046,2,50,0.5
22096,2,50,0.5
22137,2,50,0.5
22187,2,50,0.5
22237,2,50,0.5
22278,2,50,0.5
22328,2,50,0.5
22378,2,50,0.5
22419,2,50,0.5
22469,2,50,0.5
22519,2,50,0.5
22560,2,50,0.5
22610,2,50,0.5
22660,2,50,0.5
22701,2,50,0.5
22751,2,50,0.5
22801,2,50,0.5
22842,2,50,0.5
22892,2,50,0.5
22942,2,50,0.5
22983,2,50,0.5
23033,2,50,0.5
23083,2,50,0.5
23124,2,50,0.5
23174,2,50,0.5
23224,2,50,0.5
23265,2,50,0.5
23315,2,50,0.5
23365,2,50,0.5
23406,2,50,0.5
23456,2,50,0.5
23506,2,50,0.5
23547,2,50,0.5
23597,2,50,0.5
23647,2,50,0.5
23688,2,50,0.5
23738,2,50,0.5
23788,2,50,0.5
23829,2,50,0.5
23879,2,50,0.5
23929,2,50,0.5
23970,2,50,0.5
24020,2,50,0.5
24070,2,50,0.5
24111,2,50,0.5
24161,2,50,0.5
24211,2,50,0.5
24252,2,50,0.5
24302,2,50,0.5
24352,2,50,0.5
24393,2,50,0.5
24443,2,50,0.5
24493,2,50,0.5
24534,2,50,0.5
24584,2,50,0.5
24634,2,50,0.5
24675,2,50,0.5
24725,2,50,0.5
24775,2,50,0.5
24816,2,50,0.5
24866,2,50,0.5
24916,2,50,0.5
24957,2,50,0.5
25007,2,50,0.5
25057,2,50,0.5
25098,2,50,0.5
25148,2,50,0.5
25198,2,50,0.5
25239,2,50,0.5
25289,2,50,0.5
25339,2,50,0.5
25380,2,50,0.5
25430,2,50,0.5
25480,2,50,0.5
25521,2,50,0.5
25571,2,50,0.5
25621,2,50,0.5
25662,2,50,0.5
25712,2,50,0.5
25762,2,50,0.5
25803,2,50,0.5
25853,2,50,0.5
25903,2,50,0.5
25944,2,50,0.5
25994,2,50,0.5
26044,2,50,0.5
26085,2,50,0.5
26135,2,50,0.5
26185,2,50,0.5
26226,2,50,0.5
26276,2,50,0.5
26326,2,50,0.5
26367,2,50,0.5
26417,2,50,0.5
26467,2,50,0.5
26508,2,50,0.5
26558,2,50,0.5
26608,2,50,0.5
26649,2,50,0.5
26699,2,50,0.5
26749,2,50,0.5
26790,2,50,0.5
26840,2,50,0.5
26890,2,50,0.5
26931,2,50,0.5
26981,2,50,0.5
27031,2,50,0.5
27072,2,50,0.5
27122,2,50,0.5
27172,2,50,0.5
27213,2,50,0.5
27263,2,50,0.5
27313,2,50,0.5
27354,2,50,0.5
27404,2,50,0.5
27454,2,50,0.5
27495,2,50,0.5
27545,2,50,0.5
27595,2,50,0.5
27636,2,50,0.5
27686,2,50,0.5
27736,2,50,0.5
27777,2,50,0.5
27827,2,50,0.5
27877,2,50,0.5
27918,2,50,0.5
27968,2,50,0.5
28018,2,50,0.5
28059,2,50,0.5
28109,2,50,0.5
28159,2,50,0.5
28200,2,50,0.5
28250,2,50,0.5
28300,2,50,0.5
28341,2,50,0.5
28391,2,50,0.5
28441,2,50,0.5
28482,2,50,0.5
28532,2,50,0.5
28582,2,50,0.5
28623,2,50,0.5
28673,2,50,0.5
28723,2,50,0.5
28764,2,50,0.5
28814,2,50,0.5
28864,2,50,0.5
28905,2,50,0.5
